Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Streeby, Shelley",LTEN 178,SP20,32,14,0.929,0.929,4.07,3.5,3.86
"Suzuki, Erin M.",LTEN 181,SP20,48,31,1.0,1.0,5.02,3.85,3.99
"Childs, Dennis R.",LTEN 185,SP20,25,9,1.0,1.0,7.39,3.88,3.91
"Vijay, Ameeth Varma",LTEN 23,SP20,44,11,0.909,1.0,5.95,3.8,3.9
"Suzuki, Erin M.",LTEN 26,SP20,67,36,1.0,1.0,3.78,3.82,3.87
"Chacon, Gloria Elizabeth",LTEN 29,SP20,86,54,0.846,0.902,4.92,3.71,3.6
"Severina, Yelena",LTEU 150C,SP20,32,10,0.9,0.9,4.9,3.83,3.43
"Ploye, Catherine",LTFR 2A,SP20,22,6,1.0,1.0,5.83,4.0,3.89
"Lee, Jin-Kyung",LTKO 100,SP20,33,8,0.75,1.0,4.5,3.63,3.83
"Lee, Jeyseon",LTKO 2C,SP20,26,13,0.9229999999999999,1.0,6.5,3.7,3.69
"Murray, Kourtney Kristine",LTLA 3,SP20,39,8,1.0,1.0,7.0,3.67,3.9
"Wells, Patricia Rebecca",LTRU 1C,SP20,26,11,1.0,1.0,3.59,3.88,3.99
"Arcos Herrera, Carol",LTSP 133,SP20,20,9,1.0,1.0,6.28,3.56,3.81
"Kokotovic, Milos",LTSP 140,SP20,34,11,1.0,0.909,7.05,3.82,3.78
"Lerer, Seth",LTTH 110,SP20,36,9,1.0,1.0,4.5,3.88,3.96
"De Marchi Gherini, Adriana",LTWL 172,SP20,31,14,1.0,1.0,3.79,4.0,4.0
"Wilkinson, Marco",LTWR 100,SP20,23,9,1.0,1.0,4.94,3.78,3.89
"Doller, Ben",LTWR 102,SP20,23,9,1.0,1.0,3.36,3.75,4.0
"Hoang, Lily Kim",LTWR 106,SP20,24,10,1.0,1.0,5.7,3.75,4.0
"Banales, Melissa",LTWR 113,SP20,22,5,0.8,1.0,5.7,4.0,3.95
"Jemc, Jaclyn",LTWR 115,SP20,22,5,0.8,1.0,4.9,4.0,3.86
"Wilkinson, Marco",LTWR 120,SP20,23,7,1.0,1.0,4.21,4.0,3.92
"Som, Brandon D",LTWR 148,SP20,37,11,0.889,1.0,3.61,3.5,3.69
"Doller, Ben",LTWR 8B,SP20,101,32,1.0,1.0,3.43,3.93,3.92
"Hoang, Lily Kim",LTWR 8C,SP20,65,18,1.0,1.0,3.83,3.94,3.99
"Chacon, Gloria Elizabeth",LTAM 110,WI20,36,25,1.0,0.9570000000000001,4.82,3.52,3.51
"Liao, Ping H",LTCS 52,WI20,85,42,0.789,0.784,3.68,3.81,3.36
"Liao, Ping H",LTEA 120B,WI20,209,65,0.586,0.603,4.88,3.73,3.13
"Mendoza, Andrea",LTEA 138,WI20,147,55,0.865,0.731,3.59,3.76,3.83
"Lee, Jin-Kyung",LTEA 141,WI20,37,12,1.0,1.0,6.17,3.75,3.52
"Lerer, Seth",LTEN 112,WI20,52,19,1.0,1.0,4.72,3.59,3.77
"Glaser, Amelia",LTEN 158,WI20,37,26,1.0,1.0,6.35,3.56,3.74
"Nicolazzo, Sarah E.",LTEN 22,WI20,31,16,0.9329999999999999,1.0,4.23,3.5,3.42
"Walkiewicz, Kathryn A",LTEN 25,WI20,41,18,0.882,1.0,5.06,3.72,3.81
"Childs, Dennis R.",LTEN 27,WI20,80,57,0.889,0.904,5.23,3.19,3.1
"De Marchi Gherini, Adriana",LTEU 105,WI20,35,15,1.0,1.0,2.35,3.92,3.98
"Verdicchio, Pasquale",LTEU 140,WI20,31,10,1.0,1.0,3.17,3.78,3.96
"Murray, Kourtney Kristine",LTLA 2,WI20,36,13,1.0,1.0,6.17,3.78,3.83
"Wells, Patricia Rebecca",LTRU 1B,WI20,25,17,1.0,1.0,3.75,3.85,3.89
"Parra, Max",LTSP 135B,WI20,21,7,1.0,1.0,7.36,3.43,3.43
"Jed, Stephanie H",LTTH 115,WI20,42,15,1.0,1.0,4.35,3.77,3.94
"duBois, Page Ann",LTWL 100,WI20,86,30,1.0,0.9329999999999999,3.3,3.48,3.33
"Lerer, Seth",LTWL 114,WI20,135,63,0.983,1.0,2.8,3.81,3.96
"Jed, Stephanie H",LTWL 177,WI20,68,25,0.955,0.955,2.79,4.0,3.97
"Cohen, Alain J. J.",LTWL 184,WI20,25,8,0.75,1.0,5.75,3.29,3.69
"Wilkinson, Marco",LTWR 100,WI20,23,10,1.0,1.0,4.94,3.88,3.82
"Darini, Bruna Maria",LTWR 102,WI20,23,6,1.0,0.833,3.17,4.0,3.96
"Jemc, Jaclyn",LTWR 110,WI20,25,12,0.917,1.0,4.5,3.58,3.29
"Springer, Anna Joy",LTWR 114,WI20,20,10,0.7,0.7,7.9,3.7,3.97
"Ali, Mohammad Kazim",LTWR 115,WI20,21,7,0.833,0.833,3.64,3.86,3.54
"Wilkinson, Marco",LTWR 126,WI20,22,7,1.0,1.0,6.21,3.71,3.7
"Darini, Bruna Maria",LTWR 140,WI20,21,4,1.0,1.0,3.5,3.67,3.94
"Ali, Mohammad Kazim",LTWR 143,WI20,26,6,0.833,1.0,4.17,3.5,3.56
"Jemc, Jaclyn",LTWR 8A,WI20,80,36,1.0,1.0,4.03,3.67,3.55
"Doller, Ben",LTWR 8C,WI20,65,24,0.905,0.857,2.77,3.95,3.89
"Parra, Max",LTAM 110,FA19,40,21,0.85,0.75,5.7,3.5,3.35
"Liao, Ping H",LTCH 101,FA19,80,24,0.9570000000000001,1.0,5.54,3.86,3.52
"Nguyen, Hoang Tan",LTCS 110,FA19,40,17,0.867,0.867,4.5,3.57,3.46
"Liao, Ping H",LTEA 110C,FA19,78,22,0.81,0.762,4.6,3.74,3.39
"Heinrich, Larissa",LTEA 120C,FA19,265,117,0.6920000000000001,0.708,6.44,3.73,3.6
"Nicolazzo, Sarah E.",LTEN 140,FA19,33,16,0.938,0.875,5.38,3.44,3.47
"Walkiewicz, Kathryn A",LTEN 148,FA19,40,13,1.0,1.0,4.35,3.75,3.77
"Walkiewicz, Kathryn A",LTEN 154,FA19,24,8,0.875,1.0,6.0,3.5,3.6
